Model,Contamination,Repeat_mean,Repeat_std,MedInc_mean,MedInc_std,HouseAge_mean,HouseAge_std,AveRooms_mean,AveRooms_std,AveBedrms_mean,AveBedrms_std,Population_mean,Population_std,AveOccup_mean,AveOccup_std,Latitude_mean,Latitude_std,Longitude_mean,Longitude_std
Huber,0.0,14.5,8.803408430829505,0.9179849913899426,0.0,0.09969089574242848,0.0,-0.36274969443556127,0.0,0.4086432193811704,0.0,0.00919795012345134,0.0,-0.35251712906592386,0.0,-0.7556787836941884,0.0,-0.7519678060845618,0.0
Huber,0.05,14.5,8.803408430829505,0.9169519952522934,0.004776570819430607,0.10042810377285301,0.0019418531333432933,-0.360397260679829,0.00856159493455088,0.4063673533067135,0.008883719464616911,0.008479265317109862,0.0017200696909781233,-0.26521514520785205,0.04871166810998597,-0.7577176257652888,0.006794125813255591,-0.7545949897912181,0.007106962930049596
Huber,0.1,14.5,8.803408430829505,0.9186788555017752,0.006516246597981876,0.10171738378864177,0.003172760912706978,-0.3626532166160643,0.010613162953324163,0.4099947910625232,0.012349556739303883,0.007504564405841772,0.002631150770974762,-0.166766917511993,0.05041430311242924,-0.7579601283317962,0.009340434479339688,-0.7554053436372427,0.009545078742062774
Huber,0.2,14.5,8.803408430829505,0.9157254994195029,0.008302726898524565,0.10428251071500423,0.004758665269038966,-0.3561439592863392,0.015091553985063741,0.40263220689336277,0.014724039660425212,0.007157055304935259,0.004010669024965964,-0.08720719155419297,0.05147667441199211,-0.7661741773288037,0.015559874279259726,-0.7627394127396665,0.014418312022796429
LASSO,0.0,14.5,8.803408430829505,0.8009574381665306,0.0,0.12708700893832958,0.0,-0.16275931275537456,0.0,0.20620745313617975,0.0,0.0,0.0,-0.03060176164269008,0.0,-0.7901125382833255,0.0,-0.7556737928328296,0.0
LASSO,0.05,14.5,8.803408430829505,0.7973510843058088,0.01629381826932491,0.12514635643686173,0.011039847770448585,-0.15664554856398444,0.030232649988674056,0.20058983470943528,0.028401353480312835,-0.0007012378358617386,0.004281420078958026,-0.029667937663084617,0.006326155011438642,-0.7931261436379563,0.030499182843327345,-0.7583304697134066,0.031204560585800838
LASSO,0.1,14.5,8.803408430829505,0.8068190799671425,0.02114922684256878,0.12388668313272483,0.015469562082945539,-0.17906401748165354,0.04182719283961631,0.22150657063331664,0.0402436117920011,-0.0013916756986352807,0.0054125024669075,-0.026985145646365023,0.014925080063635446,-0.7938037816333591,0.030868158985079747,-0.7560294429625009,0.03237376299691738
LASSO,0.2,14.5,8.803408430829505,0.7997434437029457,0.030220974467337274,0.12311675649902552,0.020414549293856096,-0.16374761688372405,0.050926865354609455,0.2049082865432593,0.048970701046814225,0.0023004924964872197,0.016827772991790873,-0.03622285947040317,0.0219713743287981,-0.7987304567537314,0.07671378896883614,-0.7634789811036305,0.07563960434418993
OLS,0.0,14.5,8.803408430829505,0.8543830309268546,0.0,0.12254623807840798,0.0,-0.2944101344732997,0.0,0.33925949059448485,0.0,-0.0023077231458300323,0.0,-0.04082910308508704,0.0,-0.8969288766386653,0.0,-0.8698417752417182,0.0
OLS,0.05,14.5,8.803408430829505,0.8507009057620165,0.01627543283786714,0.1207954353996667,0.011438612656024097,-0.2880834118308142,0.030239391755595646,0.3335275870410409,0.02839022585507764,-0.0023740237143470033,0.010407279191667425,-0.03971837041793904,0.007263783744522076,-0.8999864682195027,0.030010868063546508,-0.8725726810295247,0.030824101438121063
OLS,0.1,14.5,8.803408430829505,0.8601028190982074,0.021219288548804758,0.11978817769786652,0.01601176882012356,-0.3103096625091028,0.04180890124308822,0.35436476666538597,0.04029686071355841,-0.002188853895595866,0.01253078988888786,-0.03569293589969141,0.018450796223490475,-0.9005774894187307,0.0309103302395275,-0.8702417865428054,0.032296447605779474
OLS,0.2,14.5,8.803408430829505,0.8530765440392318,0.030197072271001824,0.11920633058907928,0.021870123266667398,-0.29498551473857865,0.05098947631517795,0.3377985240889007,0.04907875349498942,0.0020341743644508798,0.025183657255252012,-0.04552324792756592,0.025389260964953975,-0.9053174089363785,0.07734505880769202,-0.8775493886134751,0.07608334807132
Ridge,0.0,14.5,8.803408430829505,0.8543267867471532,0.0,0.12262397117576157,0.0,-0.29421035800993284,0.0,0.3390079357063504,0.0,-0.0022822059559220054,0.0,-0.04083301580936382,0.0,-0.8961675853212543,0.0,-0.8690707430381663,0.0
Ridge,0.05,14.5,8.803408430829505,0.8506481685001092,0.016259875797050245,0.12087361343339219,0.011436728234998784,-0.2878905306087735,0.030207697007689053,0.33328198852379654,0.028363230997136685,-0.0023483737332072926,0.010406562248400121,-0.03972246998419459,0.007263574991776076,-0.8992199980671113,0.029975023742957515,-0.871796904989985,0.030789135746955517
Ridge,0.1,14.5,8.803408430829505,0.8600403834170272,0.021204487621202202,0.11986639495163302,0.01601051169797991,-0.3100956804641408,0.04176999473747962,0.35410020981202855,0.040262632596586696,-0.0021631303246098074,0.012529870930798432,-0.03569704255581252,0.018449813179707033,-0.8998183773448528,0.03087673459845248,-0.8694721872715651,0.03226309229532716
Ridge,0.2,14.5,8.803408430829505,0.8530224224083062,0.030172116143077632,0.11928508141498309,0.021864060065191017,-0.29478858098146715,0.05094374441651231,0.3375488857129677,0.049036972300672575,0.0020597224623965294,0.025181347106021813,-0.0455269910999361,0.02538752131399206,-0.9045472249206176,0.07726241283089597,-0.8767696473073143,0.07600188842143614
